branch,full_sha,last_commit_date,merged_to_main,ahead_of_main,on_origin,has_worktree,open_pr,owner_lane,proposed_disposition,preservation
antigravity/phase-2-4-sensing-confidence,09cff1cfa71276bb852eff35a31476133dbf88dc,2026-05-09,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
antigravity/phase1-primitives,6d3a7024045cc3ddba20ed9e327b4d6f36c8156f,2026-05-09,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
antigravity/spec-022-cockpit,635acd5be1b987f9f678aa2038a705aba659ff45,2026-05-09,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
antigravity/spec-023-and-shell-upgrade,1dace1c1cbc8dd7149051c44d31823ac2dac808f,2026-05-09,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
antigravity/theme-and-landing-dual-routing,a2fb580d926dd9777b85a37d97eb057021601d2b,2026-05-09,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
chore/renumber-migration-081,82a308dd8eaf6802c9f0b0f5cdd0a66b54f340d9,2026-06-05,yes,0,yes,-,-,unknown,PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude-fe/loop-18-cinematic-moment,bb3e9dbe6123c44662d7dce4c3dbc1a49a25d22a,2026-05-12,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude-fe/loop-19-evidence-cards,97179c00011c5b4d1474fc4b9791305196a3e460,2026-05-12,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude-fe/loop-19a-spa-routes,23acc52e1ab30aa892e5acc4b3b2d2ece30fbf00,2026-05-12,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
claude-fe/loop-20-materiality-drawer,5f03ae368e7a7bd9b821e43697fbea53918417b7,2026-05-12,yes,0,yes,-,-,Product-Platform(FE),PRUNE-eligible — merged to origin/main (0 unique); delete branch after worktree removed,none (on main)
