abs_path,branch,full_head_sha,staged_bytes,unstaged_bytes,untracked_count,merged_to_main,on_origin,open_pr,owner_lane,proposed_disposition,preservation_exact_path
C:/Users/kapil/Documents/market_zero,claude/handoff/h0-repository-transfer,2fc545d5281a4309918aa247e86e2fec0816414e,0,1646,96,no,no,-,handoff/primary,KEEP — primary checkout (untracked pile in UNTRACKED_ARTIFACT_MANIFEST.csv; .claude/ctx PROTECT),see artifact manifest
C:/tmp/mz_review_276_bb15ef6,(detached),a2042d7f2c55432e27ac70da13adaf6cb8cb69f4,0,0,0,no,yes,-,Product-Platform,REVIEW — detached HEAD,-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a4b5a5dd,worktree-agent-a4b5a5dd,8dd272313803284048695fc96bca57618e28d532,0,0,2,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 0b / untracked 2),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a4b5a5dd
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a681a13b,worktree-agent-a681a13b,a64125d3074050ea8333bbbaf487bf6a2459e6bc,0,803,10,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 803b / untracked 10),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a681a13b
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6a09cbe,worktree-agent-a6a09cbe,648e7acd84bcc705c0224aaad9ca0e1ffc169304,0,439,3,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 439b / untracked 3),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a6a09cbe
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6f7561a,worktree-agent-a6f7561a,5a2c70081c8a034252eafa5e869036e7b7a7328a,0,30649,0,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 30649b / untracked 0),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a6f7561a
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7c2bdc5,worktree-agent-a7c2bdc5,af422997676034da8e7cc6e335c0a4982824bfaf,0,0,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 0b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a7c2bdc5
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7c976142c417e1b3,worktree-agent-a7c976142c417e1b3,e8e54b6be354cac22c76696ee1849e6682f01ed5,24729,0,0,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 24729b / unstaged 0b / untracked 0),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a7c976142c417e1b3
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7df4042,worktree-agent-a7df4042,df3101ab7c7115b25943cb5e25408f2555d26cf3,0,8880,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 8880b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a7df4042
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a8b2ddf0f38b4b7da,worktree-agent-a8b2ddf0f38b4b7da,cfee86072bbd8dbb136b33718a8dcdd61ad9539d,0,0,2,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 0b / untracked 2),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a8b2ddf0f38b4b7da
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a8bac26d,worktree-agent-a8bac26d,af422997676034da8e7cc6e335c0a4982824bfaf,0,0,2,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 0b / untracked 2),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a8bac26d
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a8d8723a,worktree-agent-a8d8723a,495d95671b97c271892f547134419f2d03b8bc1e,0,3295,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 3295b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a8d8723a
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9935af2,worktree-agent-a9935af2,af422997676034da8e7cc6e335c0a4982824bfaf,0,1885,3,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 1885b / untracked 3),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a9935af2
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a996009b,worktree-agent-a996009b,6ff1e755f895e4d6dfddd6873123d5488b230d66,0,7498,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 7498b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a996009b
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9d0b812,worktree-agent-a9d0b812,a64125d3074050ea8333bbbaf487bf6a2459e6bc,0,1389,11,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 1389b / untracked 11),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-a9d0b812
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aa248b2734d497ede,worktree-agent-aa248b2734d497ede,a796691fcb4700003e5d2a06712a7b6bd7f1ee28,0,0,0,no,no,-,harness-ephemeral,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aa61f05e,worktree-agent-aa61f05e,af422997676034da8e7cc6e335c0a4982824bfaf,0,5078,4,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 5078b / untracked 4),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-aa61f05e
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aab2c28e,worktree-agent-aab2c28e,93ebe5ac3bf631fb51826a57f9e74fa151ff35ec,0,22589,2,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 22589b / untracked 2),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-aab2c28e
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aad5dc9e,worktree-agent-aad5dc9e,2e08d1e418bc1b3a7cfc62959ac0e0e002c2bc6f,0,13468,2,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 13468b / untracked 2),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-aad5dc9e
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-abe3bfcaa0ef17aa9,worktree-agent-abe3bfcaa0ef17aa9,46e2360f25fa8414e3267f671c4109921d3433cf,4612,0,0,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 4612b / unstaged 0b / untracked 0),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-abe3bfcaa0ef17aa9
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ac5917de,worktree-agent-ac5917de,8dd272313803284048695fc96bca57618e28d532,0,0,2,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 0b / untracked 2),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ac5917de
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ac7da67eddfa43ab2,worktree-agent-ac7da67eddfa43ab2,839432dfb9095a5b9dea7801d709c1f29097a58f,0,0,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 0b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ac7da67eddfa43ab2
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ac7febc6,worktree-agent-ac7febc6,0e32fec0a5331d51c59b64271e3d50b0c773e4b2,0,29353,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 29353b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ac7febc6
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-acb37c54,worktree-agent-acb37c54,2e08d1e418bc1b3a7cfc62959ac0e0e002c2bc6f,0,11773,0,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 11773b / untracked 0),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-acb37c54
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad0167eb,worktree-agent-ad0167eb,0e32fec0a5331d51c59b64271e3d50b0c773e4b2,0,11923,3,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 11923b / untracked 3),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ad0167eb
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad110299,worktree-agent-ad110299,4c66dc0e548ffaa700062a6fc4ab0e9b45f2dab0,0,14526,0,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 14526b / untracked 0),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ad110299
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad45c6412c39d25e0,worktree-agent-ad45c6412c39d25e0,d27243c4704158315bccf2f6f8864a9374980c11,0,0,0,no,no,-,harness-ephemeral,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad53c644c3453a219,worktree-agent-ad53c644c3453a219,d76b1b8c5476c9133e44bf0831fea87bd717f0ef,0,0,0,no,no,-,harness-ephemeral,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad885882,worktree-agent-ad885882,71745f28780b7e014f2da7115675ca22e5981e5c,0,9902,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 9902b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ad885882
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ad99be88bc6060df2,worktree-agent-ad99be88bc6060df2,0540f40bd924494be296a778799409a7abdf9cb8,0,0,0,no,no,-,harness-ephemeral,"REVIEW — unmerged, clean",-
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-adaf74a9,worktree-agent-adaf74a9,46a212a792db144e3de3cb2f9414cf5182a8fba7,0,1398,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 1398b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-adaf74a9
C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-ae07adf7,worktree-agent-ae07adf7,6ff1e755f895e4d6dfddd6873123d5488b230d66,0,1680,1,yes,yes,-,harness-ephemeral,PRESERVE-then-prune — merged but DIRTY (staged 0b / unstaged 1680b / untracked 1),C:/Users/kapil/Documents/mz-handoff-preservation/worktrees/agent-ae07adf7
